horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
50;1;35;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
56;0;43;1;1;1;1;2;0;2;0;0;1;6;2;1;8;0;1;0;0
24;0;38;1;1;1;0;1;0;1;0;1;0;1;1;0;2;0;0;0;0
6;0;53;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;48;1;1;1;1;4;3;3;3;1;1;4;5;4;9;0;0;0;0
24;0;24;0;1;1;1;3;3;3;3;1;0;0;5;3;5;0;0;0;0
40;1;29;0;1;1;1;2;2;2;2;0;0;2;2;2;4;0;0;0;0
45;0;27;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
36;0;30;0;1;1;1;4;2;3;2;2;1;3;5;3;8;0;0;0;0
48;0;40;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
48;1;52;1;1;1;0;1;9;1;0;0;9;0;9;9;9;0;0;0;0
45;1;27;1;1;1;0;1;1;1;1;2;0;3;3;1;6;0;1;0;0
0;0;19;1;1;1;1;3;0;3;0;3;3;0;6;3;6;0;0;1;0
0;0;49;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;38;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;46;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;53;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;61;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;43;1;1;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0
20;0;46;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;38;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;31;1;1;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0
0;0;31;1;1;1;0;1;4;1;1;0;2;0;3;3;3;0;0;0;0
0;0;32;1;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0
40;0;45;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
